"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","35229","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Homewood, AL",940,1
"01","35233","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",1308,1
"01","35234","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",6311,1
"01","35235","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",19484,1
"01","35242","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Hoover, AL",49545,1
"01","35243","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Vestavia Hills, AL",17328,1
"01","35244","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Hoover, AL",32390,1
"01","35254","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",1403,1
"01","35401","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Tuscaloosa, AL",39878,1
"01","35404","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Tuscaloosa, AL",21251,1
"01","35405","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Tuscaloosa, AL",37661,1
"01","35406","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Tuscaloosa, AL",13864,1
"01","35441","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Akron, AL",1060,1
"01","35442","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Aliceville, AL",39,0.008
"01","35442","99999","AL","99999","Aliceville, AL",4933,0.992
"01","35443","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Boligee, AL",2009,1
"01","35444","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Brookwood, AL",72,0.019
"01","35444","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Brookwood, AL",3627,0.981
"01","35446","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Buhl, AL",2234,1
"01","35447","99999","AL","99999","Carrollton, AL",3460,1
"01","35452","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Coker, AL",3880,1
"01","35453","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Cottondale, AL",11127,1
"01","35456","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Duncanville, AL",16,0.004
"01","35456","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Duncanville, AL",3743,0.996
